Sample_ID,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX
TMP_0.POOL.1_EXP,0.013962,0.99981,0.016029,0.99395,0.87107,4.0841,1.4271,0.66583,0.58559,0.59921
TMP_0.POOL.2_EXP,0.014192,0.99966,0.015467,0.99268,0.91754,4.0387,1.3961,0.56829,0.72447,0.74393
TMP_0.POOL.3_EXP,0.014166,0.99962,0.015298,0.99264,0.92601,4.0357,1.3859,0.55973,0.76684,0.77847
TMP_0.POOL.4_EXP,0.014371,0.99969,0.015642,0.99275,0.91872,4.116,1.3695,0.59667,0.68225,0.69049
TMP_0.POOL.5_EXP,0.014051,0.99968,0.015001,0.99355,0.9367,4.0037,1.3446,0.58513,0.69037,0.70655
TMP_0.POOL.6_EXP,0.014023,0.99953,0.014914,0.99391,0.94026,3.9995,1.3355,0.58967,0.68308,0.68811
TMP_01.POOL.1_EXP,0.013126,0.99964,0.016461,0.9925,0.79739,3.8487,1.5073,0.68655,0.63865,0.65252
TMP_ 01.POOL.2_EXP,0.014262,0.99968,0.015905,0.99303,0.8967,4.0931,1.41,0.62342,0.62795,0.63765
TMP_01.POOL.3_EXP,0.014362,0.99955,0.015444,0.99256,0.92995,4.0939,1.3742,0.56451,0.7702,0.78345
TMP_01.POOL.4_EXP,0.014371,0.99969,0.015642,0.99275,0.91872,4.116,1.3741,0.5822,0.70457,0.71807
TMP_01.POOL.5_EXP,0.014189,0.99966,0.015137,0.99367,0.93734,4.0492,1.3625,0.59781,0.667,0.68881
TMP_01.POOL.6_EXP,0.014107,0.99967,0.015047,0.99381,0.93749,4.0315,1.3646,0.60352,0.66701,0.69055
TMP_1.POOL.1_EXP,0.014511,0.99767,0.017685,0.99963,0.82056,5.5233,1.6626,0.86308,0.62879,0.64276
TMP_1.POOL.2_EXP,0.013678,0.99946,0.016178,0.99302,0.84547,3.9888,1.4702,0.63834,0.61613,0.64142
TMP_1.POOL.3_EXP,0.014371,0.99969,0.015642,0.99275,0.91872,4.116,1.3558,0.59912,0.66631,0.69288
TMP_1.POOL.4_EXP,0.014342,0.99966,0.014934,0.99366,0.96038,4.0898,1.3102,0.58763,0.6677,0.70148
TMP_1.POOL.5_EXP,0.014155,0.99971,0.014744,0.99397,0.96009,4.0245,1.3163,0.58793,0.67363,0.6856
TMP_1.POOL.6_EXP,0.01397,0.99956,0.014476,0.99445,0.96506,3.9963,1.3145,0.59072,0.66568,0.68486
