Exp_Type,Treatment,Wash,Cond_uScm,Cond_stdev,pH,pH_stdev,doc_mg_l_mean,doc_mg_l_sd,Na,Na_stdev,K,K_stdev,Ca,Ca_stdev,Mg,Mg_stdev,Al,Al_stdev,Fe,Fe_stdev,S,S_stdev,Abs_250nm,Abs_254nm,Abs_280nm,Abs_350nm,Abs_365nm,Abs_412nm,Abs_440nm,C_RSU,A_RSU,T_RSU,B_RSU,M_RSU,FDOM_RSU,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX
ASW,0,0,0.05,0,NA,NA,NA,NA,0.2,0,0.2,0,0.1,0,0.1,0,0.5,0,0.2,0,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASW,0,1,19.01,2.28,5.89,0.03,18.45,0.89,2.07,0.11,2.82,0.53,2.29,0.06,1.65,0.21,11.25,1.03,13.89,1.84,0.61,0.05,1.87,1.84,1.84,0.55,0.46,0.21,0.14,1.82,3.17,2.28,7.25,1.52,1.32,0.01,1,0.02,0.99,0.87,4.08,1.43,0.67,0.59,0.6
ASW,0,2,12.36,1.65,6.05,0.16,15.18,2.47,2.29,0.21,4.17,1.25,0.53,0.03,2.13,0.6,13.76,3.08,18.17,5.31,0.2,0,2.16,2.13,2.13,0.63,0.53,0.25,0.17,1.21,2.23,2.51,11.42,1.05,0.86,0.01,1,0.02,0.99,0.92,4.04,1.4,0.57,0.72,0.74
ASW,0,3,9.24,0.22,6.03,0.2,12.67,0.58,1.94,0.17,3.1,0.2,0.54,0.03,1.91,0.12,12.7,0.59,16.22,1.02,0.2,0,1.88,1.85,1.85,0.55,0.47,0.22,0.15,0.91,1.72,2.02,10.32,0.8,0.66,0.01,1,0.02,0.99,0.93,4.04,1.39,0.56,0.77,0.78
ASW,0,4,7.28,0.7,5.98,0.17,7.95,0.8,1.83,0.2,2.15,0.78,0.2,0,1.08,0.12,8.53,0.55,9.06,1.03,0.2,0,1.13,1.12,1.12,0.33,0.28,0.13,0.09,0.71,1.36,1.23,6.07,0.61,0.52,0.01,1,0.02,0.99,0.92,4.12,1.37,0.6,0.68,0.69
ASW,0,5,6.96,0.54,6.2,0.25,7.65,0.27,0.58,0.04,1.9,0.53,0.2,0,1.03,0.05,8.32,0.22,8.72,0.39,0.2,0,1.1,1.08,1.08,0.32,0.28,0.13,0.09,0.63,1.18,1.17,5.74,0.54,0.47,0.01,1,0.02,0.99,0.94,4,1.34,0.59,0.69,0.71
ASW,0,6,6.52,0.43,5.96,0.09,7.04,0.47,0.5,0.04,2.33,1.37,0.2,0.01,0.87,0.13,7.47,0.61,7.32,1.17,0.2,0,0.93,0.91,0.91,0.27,0.23,0.11,0.08,0.54,1.03,0.98,4.68,0.46,0.39,0.01,1,0.01,0.99,0.94,4,1.34,0.59,0.68,0.69
ASW,0.1,0,80.27,0.96,NA,NA,NA,NA,8.97,0.03,0.4,0,0.2,0,0.98,0,0.5,0,0.2,0,0.98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASW,0.1,1,90.74,0.96,5.48,0.03,11.91,0.37,7.63,0.27,3.49,0.38,3.05,0.05,1.54,0.05,7.84,0.26,8.86,0.37,0.73,0.01,0.89,0.87,0.87,0.28,0.23,0.1,0.07,0.83,1.44,0.81,3.38,0.72,0.59,0.01,1,0.02,0.99,0.8,3.85,1.51,0.69,0.64,0.65
ASW,0.1,2,16.15,0.47,5.72,0.03,17.9,0.13,2.91,0.16,2.91,0.24,0.53,0.03,1.93,0.37,12.96,1.8,16.46,3.3,0.2,0,1.89,1.86,1.86,0.55,0.46,0.21,0.14,1.33,2.43,2.06,8.57,1.12,0.97,0.01,1,0.02,0.99,0.9,4.09,1.41,0.62,0.63,0.64
ASW,0.1,3,10.03,0.59,5.81,0.03,16.14,0.3,2.27,0.19,2.09,0.84,0.22,0,1.65,0.8,11.63,3.89,13.85,6.87,0.2,0,2.58,2.54,2.54,0.74,0.63,0.29,0.2,1.24,2.34,2.74,14.06,1.07,0.88,0.01,1,0.02,0.99,0.93,4.09,1.37,0.56,0.77,0.78
ASW,0.1,4,7.69,0.52,5.85,0.04,9.46,0.22,2.06,0.29,1.76,0.18,0.2,0,1.26,0.08,9.51,0.4,10.6,0.62,0.2,0,1.81,1.79,1.79,0.52,0.44,0.2,0.14,0.84,1.69,1.63,8.18,0.71,0.6,0.01,1,0.02,0.99,0.92,4.12,1.37,0.58,0.7,0.72
ASW,0.1,5,7.19,0.8,5.9,0.12,7.95,0.44,1.24,0.25,1.4,0.09,0.2,0,1.01,0.08,8.26,0.37,8.53,0.65,0.2,0,1.1,1.09,1.09,0.32,0.27,0.13,0.09,0.66,1.24,1.16,5.54,0.55,0.47,0.01,1,0.02,0.99,0.94,4.05,1.36,0.6,0.67,0.69
ASW,0.1,6,6.84,0.36,5.89,0.08,7.08,0.49,0.68,0.01,1.33,0.12,0.2,0,0.89,0.01,7.6,0.03,7.48,0.07,0.2,0,0.95,0.93,0.93,0.28,0.24,0.11,0.08,0.56,1.05,0.97,4.76,0.48,0.41,0.01,1,0.02,0.99,0.94,4.03,1.36,0.6,0.67,0.69
ASW,1,0,784.5,0.85,NA,NA,NA,NA,89.8,0,4.3,0,2.1,0,9.8,0,0.5,0,0.2,0,9.98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASW,1,1,782.8,0.85,4.9,0.09,5.87,0.47,70.17,3.18,6.36,0.08,9.59,0.4,6.46,0.27,0.5,0,0.2,0,9.9,0.57,0.13,0.12,0.12,0.03,0.02,0.01,0.01,0.58,0.91,0.22,0.2,0.5,0.42,0.01,1,0.02,1,0.82,5.52,1.66,0.86,0.63,0.64
ASW,1,2,69.61,2.35,5.52,0,16.82,0.36,9.34,0.12,2.55,0.06,0.53,0.02,1.94,0.09,12.68,0.26,16.35,0.78,0.74,0.02,2,1.97,1.97,0.6,0.5,0.23,0.15,1.49,2.72,2.09,8.14,1.22,1.09,0.01,1,0.02,0.99,0.85,3.99,1.47,0.64,0.62,0.64
ASW,1,3,17.44,0.33,6.06,0.12,23.36,1.2,3.92,0.21,3.55,0.24,0.23,0.01,3.33,0.16,19.88,0.8,27.9,1.25,0.2,0,3.23,3.18,3.18,0.93,0.78,0.36,0.25,1.78,3.4,3.35,15.86,1.51,1.32,0.01,1,0.02,0.99,0.92,4.12,1.36,0.6,0.67,0.69
ASW,1,4,11.2,0.24,6.07,0.05,13.29,0.88,2.52,1.06,2.25,0.33,0.2,0,1.89,0.25,12.68,1.26,15.71,2.08,0.2,0,1.93,1.9,1.9,0.56,0.47,0.23,0.16,2.28,4.34,4.2,20.22,1.95,1.62,0.01,1,0.01,0.99,0.96,4.09,1.31,0.59,0.67,0.7
ASW,1,5,9.55,0.44,6.15,0.14,10.27,0.85,2.79,0.15,1.48,0.17,0.2,0.01,1.42,0.16,10.29,0.75,11.85,1.13,0.2,0,1.5,1.47,1.47,0.44,0.37,0.18,0.13,0.87,1.63,1.6,7.92,0.72,0.62,0.01,1,0.01,0.99,0.96,4.02,1.32,0.59,0.67,0.69
ASW,1,6,8.86,0.25,6.1,0.03,7.53,0.4,2.71,0.08,1.63,0.16,0.19,0.01,1,0.03,8.23,0.13,8.54,0.19,0.2,0,1.12,1.1,1.1,0.33,0.28,0.14,0.1,0.71,1.36,1.25,5.89,0.62,0.51,0.01,1,0.01,0.99,0.97,4,1.31,0.59,0.67,0.68
ASW,5,0,2899,1,NA,NA,NA,NA,448.9,0,21.6,0,10.7,0,48.9,0,0.5,0,0.2,0,49.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASW,5,1,2837,1,4.56,0.03,5.6,0.88,307.27,3.47,14.77,0.31,24.24,0.19,30.36,0.15,1.83,0.02,0.2,0,36.66,0.5,0.11,0.11,0.11,0.02,0.02,0.01,0,0.6,0.92,0.25,0.2,0.48,0.43,0.02,1,0.02,1,0.82,6.39,1.77,0.84,0.78,0.79
ASW,5,2,214.47,25.11,5.42,0.03,13.43,0.49,29.57,0.72,2.63,0.13,0.76,0.04,1.87,0.05,9.35,0.14,11.94,0.4,4.13,0.31,1.03,1.01,1.01,0.32,0.27,0.12,0.08,0.73,1.33,0.84,4.08,0.62,0.53,0.01,1,0.02,0.99,0.79,3.81,1.45,0.65,0.64,0.66
ASW,5,3,30.14,0.92,6.04,0.12,28.02,0.7,5.92,0.45,2.94,1.77,0.56,0.05,3.53,0.64,17.77,7.78,23.52,13.82,0.2,0,3.53,3.47,3.47,1.01,0.86,0.4,0.27,2.24,4.12,3.7,16.03,1.85,1.6,0.01,1,0.02,0.99,0.92,4.12,1.34,0.61,0.62,0.64
ASW,5,4,15.06,0.04,6.14,0.03,16.99,0.79,3.97,0.35,1.87,0.89,0.21,0.01,1.3,0.26,12.43,3.84,14.61,6.72,0.2,0,2.45,2.41,2.41,0.7,0.59,0.28,0.2,1.46,2.76,2.57,12.42,1.23,1.03,0.01,1,0.02,0.99,0.97,4.16,1.28,0.59,0.64,0.65
ASW,5,5,12.64,0.76,6.24,0.21,12.35,0.1,3.59,0.43,1.43,0.26,0.2,0.01,1.46,0.35,10.37,1.63,11.69,2.74,0.2,0,1.74,1.71,1.71,0.5,0.42,0.2,0.14,1.06,2.01,1.85,8.79,0.89,0.77,0.01,1,0.01,0.99,0.97,4.11,1.29,0.6,0.67,0.68
ASW,5,6,11.37,0.54,6.43,0.16,8.53,1.07,3.26,0.27,1.2,0.09,0.19,0.01,1.09,0.25,8.57,1.13,8.85,1.92,0.2,0,1.17,1.15,1.15,0.34,0.29,0.14,0.1,0.81,1.48,1.2,5.65,0.68,0.6,0.01,1,0.01,0.99,0.96,4.09,1.33,0.63,0.58,0.61
ASW,25,0,16140,0,NA,NA,NA,NA,2244.4,0,107.9,0,53.4,0,244.4,0,0.5,0,0.2,0,249.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASW,25,1,15746.67,5.77,4.34,0.02,7.12,0.46,2013.67,29.14,81.44,0.14,78.99,0.37,227.38,1.1,8.61,0.18,0.2,0,225.9,4.44,0.14,0.13,0.13,0.03,0.02,0.01,0.01,0.79,1.21,0.33,0.25,0.63,0.55,0.01,1,0.02,1,0.84,5.92,1.82,0.83,0.83,0.85
ASW,25,2,1481.33,7.51,5.17,0.04,3.96,0.18,175.03,0.35,8.42,0.2,4.61,0.17,8.95,0.11,0.5,0,0.2,0,21.02,0.15,0.13,0.12,0.12,0.03,0.03,0.01,0.01,0.52,0.86,0.17,0.16,0.45,0.38,0.01,1,0.02,1,0.78,4.66,1.55,0.88,0.56,0.56
ASW,25,3,111,5.11,6.04,0.07,31.24,1.07,16.45,0.87,6.95,6.05,0.54,0.03,6.32,5.32,33.65,26.98,49.78,44.37,2.46,0.48,4.54,4.47,4.47,1.3,1.1,0.51,0.35,2.37,4.36,4.16,18.8,1.94,1.66,0.01,1,0.02,0.99,0.92,4.12,1.34,0.59,0.65,0.67
ASW,25,4,29.15,2.06,6.56,0.06,26.43,0.99,6.52,0.64,2.96,1.59,0.21,0.01,3.13,1.48,17.51,6.84,22.48,11.93,0.2,0,3.89,3.83,3.83,1.09,0.92,0.43,0.3,2.14,4.06,3.9,17.81,1.78,1.48,0.01,1,0.02,0.99,0.95,4.22,1.27,0.58,0.63,0.64
ASW,25,5,19.32,1.26,6.61,0.06,17.83,1.55,4.95,0.66,2.48,0.51,0.2,0.01,2.63,0.53,15.24,2.37,19.56,4.11,0.2,0,2.62,2.58,2.58,0.74,0.63,0.3,0.21,1.44,2.67,2.68,13.17,1.21,1.01,0.01,1,0.02,0.99,0.98,4.18,1.24,0.58,0.67,0.69
ASW,25,6,16.56,1.35,6.51,0.19,11.77,0.53,4.44,0.57,2.05,0.25,0.2,0.01,1.77,0.1,11.33,0.43,13.43,0.76,0.2,0,1.69,1.66,1.66,0.48,0.41,0.2,0.14,1.11,1.99,1.73,8.78,0.91,0.76,0.01,1,0.01,0.99,0.98,4.12,1.27,0.61,0.64,0.67
ASW,100,0,56350,0,8.05,0,NA,NA,8977.7,0,431.6,0,213.6,0,977.8,0,0.5,0,0.2,0,998.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASW,100,1,55180,177.76,4.54,0.04,8.29,0.27,8674,41.87,402.21,2.14,240.3,1.7,957.68,5.33,11.59,0.31,0.2,0,968.2,9.16,0.15,0.15,0.15,0.03,0.03,0.01,0.01,0.84,1.31,0.52,0.42,0.68,0.59,0.02,1,0.02,1,0.97,5.54,1.77,0.72,0.83,0.85
ASW,100,2,5673,6.93,5.19,0.03,3.76,0.25,719.2,7.73,32.85,0.05,14.38,0.22,58.26,0.75,0.5,0,0.2,0,84.66,1.14,0.07,0.07,0.07,0.02,0.01,0,0,0.39,0.65,0.2,0.17,0.34,0.29,0.02,1,0.02,1,0.83,5.98,1.64,0.82,0.67,0.68
ASW,100,3,428.43,19.7,6,0.13,27.83,0.32,55.26,2.43,6.29,0.19,0.53,0.02,4.6,0.08,21.76,0.52,32.37,0.81,6.99,0.36,4.54,4.47,4.47,1.3,1.1,0.51,0.35,1.88,3.7,3.56,15.28,1.68,1.33,0.01,1,0.02,0.99,0.92,4.12,1.41,0.58,0.66,0.67
ASW,100,4,55.31,2.38,6.73,0.06,29.61,2.46,10.43,0.33,4.9,0.46,0.43,0.02,5.03,0.41,25.94,1.71,36.89,2.82,0.2,0,4.07,4,4,1.13,0.95,0.43,0.3,2.68,4.89,3.83,16.15,2.22,1.89,0.01,1,0.02,0.99,0.93,4.26,1.23,0.63,0.55,0.58
ASW,100,5,29.67,2.11,6.82,0.02,20.56,1.89,6.58,0.26,3.11,0.19,0.19,0,3.24,0.33,17.62,1.47,23.62,2.35,0.2,0,2.67,2.63,2.63,0.74,0.63,0.3,0.21,1.71,3.13,2.72,12.31,1.44,1.2,0.01,1,0.02,0.99,0.97,4.26,1.22,0.61,0.6,0.63
ASW,100,6,23.84,1.19,7.01,0.07,14.63,0.13,5.38,0.01,2.31,0.34,0.19,0,2.26,0.12,13.23,0.53,16.67,0.83,0.2,0,2.02,1.99,1.99,0.57,0.48,0.23,0.17,1.28,2.4,2.13,9.72,1.08,0.91,0.01,1,0.01,0.99,1,4.2,1.22,0.61,0.61,0.63
