Treatment,Column,soil_g
ASW,S10,252.51
ASW,S2,231.98000000000002
ASW,S4,157.62
ASW,S6,255.82999999999998
ASW,S7,206.91
Control,C1,285.68
Control,C2,279.66
Control,C3,263.28000000000003
Control,C4,233.86999999999998
Control,C5,318.15999999999997
Freshwater,F1,209.6
Freshwater,F3,212.32
Freshwater,F5,236.86
Freshwater,F8,222.29999999999998
Freshwater,F9,218.75
