Exp_Type,Treatment,Timepoint,Column,conductivity_uSpercm,pH,doc_mgperL,Na_ppm,K_ppm,Ca_ppm,Mg_ppm,Al_ppm,Fe_ppm,S_ppm
ColEx,ASW,5,S10,1248,4.11,9.16,219.57,9.24,6.52,13.88,3.68,6.9,21.48
ColEx,ASW,6,S2,514.3,4.43,19,93.11,5.67,1.2,3.31,1.07,2.13,15.28
ColEx,ASW,6,S4,712.4,4.44,23.85,137.71,9.29,1.93,4.03,1.09,2.5,17.31
ColEx,ASW,6,S6,593.8,4.28,10.3,113.03,6.35,1.34,4.8,1.45,0.12,23.58
ColEx,ASW,6,S7,383.1,4.88,49.35,77.61,3.56,1,1.76,1.81,1.76,12.75
ColEx,ASW,6,S10,409.5,4.55,6.4,68.53,3.26,1.56,3.02,0.85,0.9,9.39
ColEx,ASW,7,S2,296.1,4.69,23.29,57.28,3.55,0.61,1.44,0.82,0.78,11.57
ColEx,ASW,7,S4,311,4.95,33.79,63.74,4.4,0.66,0.94,0.98,0.78,9.81
ColEx,ASW,7,S6,368.9,4.48,15.65,70.9,4.34,0.76,2.37,1.01,0.13,20.11
ColEx,ASW,7,S7,201.9,5.3,65.62,43.67,2.1,0.51,0.67,2.31,1.37,7.18
ColEx,ASW,7,S10,337,4.59,8.74,54.22,2.57,1.15,2.03,0.7,0.61,8.91
ColEx,ASW,8,S2,176.2,4.96,27.77,35.54,2.25,0.34,0.58,0.85,0.39,8.64
ColEx,ASW,8,S4,156.5,5.35,52.01,31.42,2.29,0.29,0.29,1.33,1.05,5.41
ColEx,ASW,8,S6,199,4.7,19.97,38.93,2.52,0.39,0.93,1.27,0.65,13.63
ColEx,ASW,8,S7,116.7,5.7,63.53,25.67,1.26,0.28,0.2,2.31,1.39,3.85
ColEx,ASW,8,S10,224.2,4.84,12.65,40.75,2,0.72,1.26,0.67,0.35,8.55
ColEx,ASW,9,S2,131.4,5.23,36.7,21.61,1.32,0.29,0.2,1.01,0.4,5.96
ColEx,ASW,9,S4,90.27,5.52,59.76,19.36,1.5,0.33,0.14,1.76,1.63,3.42
ColEx,ASW,9,S6,134.6,4.92,21.95,27.15,1.68,0.3,0.41,0.87,0.2,10.49
ColEx,ASW,9,S7,94.31,5.8,67.18,22.76,1.09,0.32,0.16,2.68,1.69,3.17
ColEx,ASW,9,S10,144.3,5.22,17.53,28.48,1.35,0.52,0.61,0.69,0.27,6.99
ColEx,ASW,10,S2,80.8,5.46,50.25,18.59,1.19,0.16,0.13,1.55,0.8,3.43
ColEx,ASW,10,S4,72.59,5.43,69.77,16.07,1.4,0.19,0.13,2.06,2.41,2.3
ColEx,ASW,10,S6,95.47,5.9,23.85,19.41,1.3,0.15,0.19,0.98,0.43,8.05
ColEx,ASW,10,S7,90.2,5.34,85.13,23.29,1.08,0.23,0.17,3.21,1.97,2.78
ColEx,ASW,10,S10,132.7,5.29,33.33,27.83,1.31,0.29,0.42,1.12,0.69,6.68
ColEx,ASW,11,S2,55.25,5.64,54.76,13.48,0.82,0.15,0.05,1.75,0.67,2.06
ColEx,ASW,11,S4,59.26,5.54,70.83,13.81,1.14,0.22,0.08,1.96,2.01,1.76
ColEx,ASW,11,S6,62.16,5.57,28.97,13.61,0.98,0.16,0.06,1.19,0.43,5.44
ColEx,ASW,11,S7,65.05,6.08,69.27,16.13,0.77,0.18,0.07,2.52,1.16,1.48
ColEx,ASW,11,S10,70.9,5.48,40.12,15.55,0.74,0.19,0.12,1.32,0.79,3.97
ColEx,ASW,12,S2,49.13,5.7,55.35,12.05,0.74,0.24,0.07,1.94,0.94,1.54
ColEx,ASW,12,S4,51.23,5.62,64.66,11.37,0.36,0.18,0.08,1.97,2.08,1.33
ColEx,ASW,12,S6,49.11,5.81,31.55,10.72,0.71,0.12,0.05,1.27,0.67,3.69
ColEx,ASW,12,S7,60.07,6.12,64.08,14.64,0.59,0.17,0.04,2.43,1.57,1.47
ColEx,ASW,12,S10,51.04,5.7,41.86,11.76,0.5,0.17,0.05,1.36,0.92,2.79
ColEx,Control,0,Treatment Water,1.38,6.49,0,0,0,0,0,0,0,0
ColEx,Control,1,C1,7.97,6.76,6.45,7.44,1.413,0.194,0,0.297,0.197,0.12
ColEx,Control,1,C2,23.21,5.86,6.28,4.98,1.741,0.392,0.434,0.339,0.258,1.242
ColEx,Control,1,C3,14.56,6.16,4.01,3.58,1.132,0.354,0.281,0.312,0.213,0.775
ColEx,Control,1,C4,9.98,6.33,9.87,2.28,1.396,0.294,0.118,0.455,0.456,0.22
ColEx,Control,1,C5,8.3,6.39,5.49,6.1,0.893,0.111,0.097,0.431,0.489,0.175
ColEx,Control,2,C1,9.96,6.52,8.8,7.417,1.645,0.212,0.082,0.312,0.151,0.185
ColEx,Control,2,C2,16.7,6.14,9.99,4.68,1.56,0.313,0.295,0.339,0.12,0.744
ColEx,Control,2,C3,16.59,6.08,5.74,3.367,1.278,0.396,0.283,0.278,0.126,0.851
ColEx,Control,2,C4,10.27,6.03,14.49,2.025,1.513,0.314,0.131,0.425,0.274,0.194
ColEx,Control,2,C5,8.86,6.39,7.95,6.365,1.19,0.279,0,0.298,0.221,0.13
ColEx,Control,3,C1,9.44,6.72,8.84,7.151,1.671,0.217,0.09,0.869,0.229,0.331
ColEx,Control,3,C2,15.12,5.95,10.71,4.708,1.554,0.271,0.255,0.341,0.112,0.557
ColEx,Control,3,C3,14.53,6.13,5.39,3.034,1.212,0.311,0.219,0.246,0.099,0.642
ColEx,Control,3,C4,10.18,6.02,15.33,2.176,1.554,0.303,0.134,0.441,0.286,0.155
ColEx,Control,3,C5,7.87,6.29,8.04,5.553,1.113,0.259,0,0.281,0.169,0.106
ColEx,Control,4,C1,9.02,6.65,8.98,6.708,1.574,0.192,0.088,0.332,0.129,0.185
ColEx,Control,4,C2,11.46,5.86,10.3,4.37,1.334,0.22,0.202,0.349,0.129,0.375
ColEx,Control,4,C3,11.4,6.05,5.26,2.775,1.176,0.245,0.169,0.237,0.06,0.497
ColEx,Control,4,C4,9.52,6.01,14.92,1.83,1.486,0.269,0.129,0.45,0.277,0.106
ColEx,Control,4,C5,7.16,5.94,7.92,4.35,1.129,0.302,0,0.286,0.162,0
ColEx,Control,5,C1,8.44,6.86,8.79,6.607,1.633,0.168,0,0.314,0.129,0.18
ColEx,Control,5,C2,11.91,5.94,10.94,4.015,1.27,0.23,0.188,0.364,0.152,0.331
ColEx,Control,5,C3,10,6.03,4.62,2.589,1.101,0.207,0.125,0.215,0.062,0.373
ColEx,Control,5,C4,9.36,5.9,14.9,2.175,1.552,0.242,0.12,0.455,0.306,0.139
ColEx,Control,5,C5,7.08,6.05,7.84,3.486,1.24,0.309,0.115,0.305,0.145,0.081
ColEx,Control,6,C1,8.64,6.61,9.95,6.166,1.676,0.178,0.087,0.326,0.128,0.156
ColEx,Control,6,C2,11.14,6.08,11.4,4.004,1.302,0.235,0.182,0.363,0.134,0.264
