Exp_Type,Treatment,Timepoint,Column,conductivity_uSpercm,pH,doc_mgperL,Na_ppm,K_ppm,Ca_ppm,Mg_ppm,Al_ppm,Fe_ppm,S_ppm
ColEx,Freshwater,9,F1,13.92,5.45,14.8,1.92,1.06,0.35,0.14,0.69,0.09,0.65
ColEx,Freshwater,9,F3,15.9,5.17,24.86,2.13,1.08,0.43,0.24,1.18,0.89,0.58
ColEx,Freshwater,9,F5,10.79,5.62,10.15,1.88,0.83,0.26,0.12,0.62,0,0.6
ColEx,Freshwater,9,F8,13.93,5.95,16.7,1.71,2.26,0.29,0.2,0.71,0,0.49
ColEx,Freshwater,9,F9,10.11,5.27,6.02,1.55,0.85,0.32,0.06,0.46,0,0.78
ColEx,Freshwater,10,F1,18.3,5.58,13.96,1.8,0.93,0.22,0.11,0.64,0.03,0.57
ColEx,Freshwater,10,F3,18.41,5.14,27.7,2.24,1.16,0.33,0.28,1.3,1.04,0.67
ColEx,Freshwater,10,F5,11.93,5.49,10.74,1.83,0.87,0.19,0.13,0.62,0,0.68
ColEx,Freshwater,10,F8,14.26,5.78,16.27,1.74,2.04,0.21,0.22,0.69,0,0.57
ColEx,Freshwater,10,F9,9.25,5.64,5.77,1.36,0.73,0.15,0.03,0.42,0,0.68
ColEx,Freshwater,11,F1,12.34,5.42,15.3,1.79,1.03,0.25,0.13,0.7,0.08,0.57
ColEx,Freshwater,11,F3,15.86,5.17,25.13,2.09,1.11,0.31,0.23,1.21,0.98,0.53
ColEx,Freshwater,11,F5,10.48,5.52,10.18,1.79,0.83,0.22,0.11,0.64,0,0.6
ColEx,Freshwater,11,F8,14.77,5.83,17.05,1.73,2.13,0.27,0.28,0.73,0,0.54
ColEx,Freshwater,11,F9,10.32,5.74,6.89,1.45,0.71,0.19,0.04,0.47,0,0.72
ColEx,Freshwater,12,F1,10.84,5.57,12.98,1.71,1.02,0.24,0.1,0.66,0.06,0.51
ColEx,Freshwater,12,F3,15.5,5.23,24.23,2.08,1.15,0.32,0.24,1.21,0.77,0.55
ColEx,Freshwater,12,F5,10.33,5.67,9.79,1.91,0.9,0.19,0.12,0.65,0,0.58
ColEx,Freshwater,12,F8,14.19,5.97,16.56,1.74,2.13,0.24,0.31,0.73,0,0.59
ColEx,Freshwater,12,F9,9.96,5.78,6.48,1.55,0.79,0.18,0.04,0.45,0,0.68
