[Header]												
System	TOC-L w TNM 9mL MULTIPLE INJ											
S/W Version	1											
User												
Date/Time	8/15/24 10:14											
												
[System]												
Instrument Options	TOC/ASI/IC Unit/TN/											
												
[Data]												
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time
Unknown	NPOC/TN	CondBlank1	Untitled					0.4409	0.04091	mg/L	1	8/12/24 15:02
Unknown	NPOC/TN	CondBlank2	Untitled					0.3599	0.05595	mg/L	2	8/12/24 15:19
Unknown	NPOC/TN	CondBlank3	Untitled					0.4152	0.04395	mg/L	3	8/12/24 15:36
Unknown	NPOC/TN	CondBlank4	Untitled					0.3989	0.03767	mg/L	4	8/12/24 15:52
Standard	NPOC	STD_0-100ppmNPOC	Untitled					100		mg/L	"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16"	8/12/24 19:50
Standard	TN	STD_0-15ppm_TN	Untitled						15	mg/L	"17, 18, 19, 20, 21, 22, 23, 24"	8/12/24 22:05
Unknown	NPOC/TN	Blank1	Untitled					0.4711	0.1447	mg/L	25	8/12/24 22:24
Unknown	NPOC/TN	CKSTD_CN_5ppm_A	Untitled					4.791	5.022	mg/L	26	8/12/24 22:48
Unknown	NPOC/TN	TMP_ColEx_10_A_rerun	Untitled					50.25	1.553	mg/L	27	8/12/24 23:14
Unknown	NPOC/TN	TMP_ColEx_11_A_rerun	Untitled					54.76	1.611	mg/L	28	8/12/24 23:38
Unknown	NPOC/TN	TMP_ColEx_12_A_rerun	Untitled					55.35	1.585	mg/L	29	8/12/24 23:59
Unknown	NPOC/TN	TMP_ColEx_37_rerun	Untitled					72.48	4.177	mg/L	30	8/13/24 0:25
Unknown	NPOC/TN	TMP_ColEx_1_B_rerun	Untitled					75.88	11.62	mg/L	31	8/13/24 0:52
Unknown	NPOC/TN	TMP_ColEx_8_B_rerun	Untitled					52.01	2.041	mg/L	32	8/13/24 1:13
Unknown	NPOC/TN	TMP_ColEx_9_B_rerun	Untitled					59.76	2.113	mg/L	33	8/13/24 1:33
Unknown	NPOC/TN	TMP_ColEx_10_B_rerun	Untitled					69.77	2.048	mg/L	34	8/13/24 1:53
Unknown	NPOC/TN	TMP_ColEx_11_B_rerun	Untitled					70.83	1.961	mg/L	35	8/13/24 2:14
Unknown	NPOC/TN	TMP_ColEx_12_B_rerun	Untitled					64.66	1.806	mg/L	36	8/13/24 2:34
Unknown	NPOC/TN	Blank2	Untitled					0.7663	0.08395	mg/L	37	8/13/24 2:51
Unknown	NPOC/TN	CKSTD_CN_5ppm_B	Untitled					4.92	5.049	mg/L	38	8/13/24 3:14
Unknown	NPOC/TN	TMP_ColEx_10_C	Untitled					23.85	0.8722	mg/L	39	8/13/24 3:33
Unknown	NPOC/TN	TMP_ColEx_11_C	Untitled					28.97	0.9552	mg/L	40	8/13/24 3:57
Unknown	NPOC/TN	TMP_ColEx_12_C	Untitled					31.55	0.9555	mg/L	41	8/13/24 4:17
