[Header]												
System	TOC-L w TNM 9mL MULTIPLE INJ											
S/W Version	1											
User												
Date/Time	8/15/24 10:15											
												
[System]												
Instrument Options	TOC/ASI/IC Unit/TN/											
												
[Data]												
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time
Unknown	NPOC/TN	CondBlank1	Untitled					0.3	0.04276	mg/L	1	8/9/24 13:17
Unknown	NPOC/TN	CondBlank2	Untitled					0.3182	0.03795	mg/L	2	8/9/24 13:34
Unknown	NPOC/TN	CondBlank3	Untitled					0.3167	0.04855	mg/L	3	8/9/24 14:01
Unknown	NPOC/TN	CondBlank4	Untitled					0.2658	0.06114	mg/L	4	8/9/24 14:17
Standard	NPOC	STD_0-50ppmNPOC	Untitled					50		mg/L	"5, 6, 7, 8, 9, 10, 11, 12, 13, 14"	8/9/24 17:24
Standard	TN	STD_0-10ppmTN	Untitled						10	mg/L	"15, 16, 17, 18, 19, 20, 21, 22, 23, 24"	8/9/24 20:44
Unknown	NPOC/TN	Blank1	Untitled					0.09572	0.1169	mg/L	25	8/9/24 21:04
Unknown	NPOC/TN	CKSTD_CN_5ppm_A	Untitled					4.914	5.155	mg/L	26	8/9/24 21:30
Unknown	NPOC/TN	TMP_ColEx_1_A	Untitled					24.09	3.71	mg/L	27	8/9/24 21:49
Unknown	NPOC/TN	TMP_ColEx_2_A	Untitled					23.04	3.252	mg/L	28	8/9/24 22:08
Unknown	NPOC/TN	TMP_ColEx_3_A	Untitled					19.47	2.544	mg/L	29	8/9/24 22:26
Unknown	NPOC/TN	TMP_ColEx_4_A	Untitled					19.58	2.18	mg/L	30	8/9/24 22:45
Unknown	NPOC/TN	TMP_ColEx_5_A	Untitled					15.38	1.798	mg/L	31	8/9/24 23:04
Unknown	NPOC/TN	TMP_ColEx_6_A	Untitled					19	1.373	mg/L	32	8/9/24 23:28
Unknown	NPOC/TN	TMP_ColEx_7_A	Untitled					23.29	1.185	mg/L	33	8/9/24 23:50
Unknown	NPOC/TN	TMP_ColEx_8_A	Untitled					27.77	1.046	mg/L	34	8/10/24 0:11
Unknown	NPOC/TN	TMP_ColEx_9_A	Untitled					38.65	10.84	mg/L	35	8/10/24 0:35
Unknown	NPOC/TN	TMP_ColEx_10_A	Untitled					54.49	1.616	mg/L	36	8/10/24 0:55
Unknown	NPOC/TN	Blank2	Untitled					0.248	0.08616	mg/L	37	8/10/24 1:12
Unknown	NPOC/TN	CKSTD_CN_5ppm_B	Untitled					4.97	5.067	mg/L	38	8/10/24 1:36
Unknown	NPOC/TN	TMP_ColEx_11_A	Untitled					56.92	1.587	mg/L	39	8/10/24 1:57
