sample_name,rundate,doc_mg_l,npoc_flag,sample_vol,total_vol,Treatment,Wash
TMP_0.A.1_EXP,20240130,8.88,NA,0.2,7,0,1
TMP_0.C.3_EXP,20240130,8.35,NA,0.2,7,0,3
TMP_1.A.2_EXP,20240130,7.51,NA,0.24046476382925028,7.0058,1,2
TMP_1.A.1_EXP,20240130,13.8,NA,0.20990149027532196,6.949699999999999,1,1
TMP_5.C.2_EXP,20240130,11.67,NA,0.23629704470825974,6.9855,5,2
TMP_0.C.1_EXP,20240130,7.54,NA,0.24261177064915376,6.977,0,1
TMP_0.A.3_EXP,20240130,8.52,NA,0.24362212679969672,6.992299999999999,0,3
TMP_1.B.2_EXP,20240130,9.32,NA,0.24185400353624598,6.8915999999999995,1,2
TMP_1.B.1_EXP,20240130,10.02,NA,0.23755998989643898,6.962200000000001,1,1
TMP_5.B.2_EXP,20240130,11.55,NA,0.23844405152816436,6.7442,5,2
TMP_0.B.1_EXP,20240130,8.19,NA,0.2133114422834047,7.0134,0,1
TMP_0.B.3_EXP,20240130,8.51,NA,0.1776963879767616,6.995500000000001,0,3
TMP_1.C.2_EXP,20240130,5.03,NA,0.24286435968678893,6.9758000000000004,1,2
TMP_1.C.1_EXP,20240130,12.38,NA,0.24336953776206155,6.9602,1,1
TMP_5.A.2_EXP,20240130,10.45,NA,0.22657236675928294,6.964700000000001,5,2
TMP_25.A.5_EXP,20240130,9.39,NA,0.23667592826471362,7.0244,25,5
TMP_100.B.3_EXP,20240130,9.12,NA,0.2251831270522861,6.995000000000001,100,3
TMP_0.B.5_EXP,20240130,8.32,NA,0.22871937357918645,7.0221,0,5
TMP_25.B.6_EXP,20240130,13.56,NA,0.24046476382925028,6.9375,25,6
TMP_1.A.5_EXP,20240130,8.48,NA,0.234528921444809,6.963,1,5
TMP_25.B.5_EXP,20240130,11.81,NA,0.22467794897701462,6.910799999999999,25,5
TMP_100.C.3_EXP,20240130,13.53,NA,0.2397069967163425,6.9563999999999995,100,3
TMP_0.C.5_EXP,20240130,7.9,NA,0.242232887092701,6.9274000000000004,0,5
TMP_25.C.6_EXP,20240130,13.51,NA,0.22594089416519275,6.7607,25,6
TMP_1.B.5_EXP,20240130,7.46,NA,0.23301338721899456,6.962200000000001,1,5
