Exp_Type,Treatment,Wash,Soil_Column,sample_ID_short,sample_name,doc_mg_l,npoc_flag,tdn_mg_l,tdn_flag
Soil_Column,AS,1,10,AS.10.1,TMP_ColEx_1_E,21.84,NA,4.39,NA
Soil_Column,AS,1,2,AS.2.1,TMP_ColEx_1_A,24.09,NA,3.71,NA
Soil_Column,AS,1,4,AS.4.1,TMP_ColEx_1_B,75.88,NA,11.62,NA
Soil_Column,AS,1,6,AS.6.1,TMP_ColEx_1_C,8,NA,0.61,blank is ≥ 15% of sample value
Soil_Column,AS,1,7,AS.7.1,TMP_ColEx_1_D,31.46,NA,6.73,NA
Soil_Column,AS,2,10,AS.10.2,TMP_ColEx_2_E,18.12,NA,4.18,NA
Soil_Column,AS,2,2,AS.2.2,TMP_ColEx_2_A,23.04,NA,3.25,NA
Soil_Column,AS,2,4,AS.4.2,TMP_ColEx_2_B,39.19,NA,10.58,value above cal curve
Soil_Column,AS,2,6,AS.6.2,TMP_ColEx_2_C,11.5,NA,1.12,NA
Soil_Column,AS,2,7,AS.7.2,TMP_ColEx_2_D,26.33,NA,6.04,NA
Soil_Column,AS,3,10,AS.10.3,TMP_ColEx_3_E,12.06,NA,3.26,NA
Soil_Column,AS,3,2,AS.2.3,TMP_ColEx_3_A,19.47,NA,2.54,NA
Soil_Column,AS,3,4,AS.4.3,TMP_ColEx_3_B,24.33,NA,8.95,NA
Soil_Column,AS,3,6,AS.6.3,TMP_ColEx_3_C,9.02,NA,1.02,NA
Soil_Column,AS,3,7,AS.7.3,TMP_ColEx_3_D,22.35,NA,4.69,NA
Soil_Column,AS,4,10,AS.10.4,TMP_ColEx_4_E,6.6,NA,1.78,NA
Soil_Column,AS,4,2,AS.2.4,TMP_ColEx_4_A,19.58,NA,2.18,NA
Soil_Column,AS,4,4,AS.4.4,TMP_ColEx_4_B,18.46,NA,6.34,NA
Soil_Column,AS,4,6,AS.6.4,TMP_ColEx_4_C,7.17,NA,0.85,NA
Soil_Column,AS,4,7,AS.7.4,TMP_ColEx_4_D,21.69,NA,2.94,NA
Soil_Column,AS,5,10,AS.10.5,TMP_ColEx_5_E,9.16,NA,2.3,NA
Soil_Column,AS,5,2,AS.2.5,TMP_ColEx_5_A,15.38,NA,1.8,NA
Soil_Column,AS,5,4,AS.4.5,TMP_ColEx_5_B,15.62,NA,4.68,NA
Soil_Column,AS,5,6,AS.6.5,TMP_ColEx_5_C,7.74,NA,0.95,NA
Soil_Column,AS,5,7,AS.7.5,TMP_ColEx_5_D,28.55,NA,2.41,NA
Soil_Column,AS,6,10,AS.10.6,TMP_ColEx_6_E,6.4,NA,1.04,blank is ≥ 15% of sample value
Soil_Column,AS,6,2,AS.2.6,TMP_ColEx_6_A,19,NA,1.37,NA
Soil_Column,AS,6,4,AS.4.6,TMP_ColEx_6_B,23.85,NA,3.51,NA
Soil_Column,AS,6,6,AS.6.6,TMP_ColEx_6_C,10.3,NA,0.79,NA
Soil_Column,AS,6,7,AS.7.6,TMP_ColEx_6_D,49.35,NA,2.17,NA
Soil_Column,AS,7,10,AS.10.7,TMP_ColEx_7_E,8.74,NA,1,blank is ≥ 15% of sample value
Soil_Column,AS,7,2,AS.2.7,TMP_ColEx_7_A,23.29,NA,1.19,NA
Soil_Column,AS,7,4,AS.4.7,TMP_ColEx_7_B,33.79,NA,2.26,NA
Soil_Column,AS,7,6,AS.6.7,TMP_ColEx_7_C,15.65,NA,0.78,NA
Soil_Column,AS,7,7,AS.7.7,TMP_ColEx_7_D,65.62,NA,2.23,NA
Soil_Column,AS,8,10,AS.10.8,TMP_ColEx_8_E,12.65,NA,1.01,blank is ≥ 15% of sample value
Soil_Column,AS,8,2,AS.2.8,TMP_ColEx_8_A,27.77,NA,1.05,NA
Soil_Column,AS,8,4,AS.4.8,TMP_ColEx_8_B,52.01,NA,2.04,NA
Soil_Column,AS,8,6,AS.6.8,TMP_ColEx_8_C,19.97,NA,0.8,NA
Soil_Column,AS,8,7,AS.7.8,TMP_ColEx_8_D,63.53,NA,2.2,NA
Soil_Column,AS,9,10,AS.10.9,TMP_ColEx_9_E,17.53,NA,1.05,blank is ≥ 15% of sample value
Soil_Column,AS,9,2,AS.2.9,TMP_ColEx_9_A,36.7,replicates analyzed and values averaged,10.59,replicates analyzed and values averaged
Soil_Column,AS,9,4,AS.4.9,TMP_ColEx_9_B,59.76,NA,2.11,NA
Soil_Column,AS,9,6,AS.6.9,TMP_ColEx_9_C,21.95,NA,0.7,NA
Soil_Column,AS,9,7,AS.7.9,TMP_ColEx_9_D,67.18,NA,2.2,NA
Soil_Column,AS,10,10,AS.10.10,TMP_ColEx_10_E,33.33,NA,1.36,NA
Soil_Column,AS,10,2,AS.2.10,TMP_ColEx_10_A,50.25,NA,1.55,NA
Soil_Column,AS,10,4,AS.4.10,TMP_ColEx_10_B,69.77,NA,2.05,NA
Soil_Column,AS,10,6,AS.6.10,TMP_ColEx_10_C,23.85,NA,0.87,NA
Soil_Column,AS,10,7,AS.7.10,TMP_ColEx_10_D,85.13,NA,2.6,NA
Soil_Column,AS,11,10,AS.10.11,TMP_ColEx_11_E,40.12,NA,1.32,NA
Soil_Column,AS,11,2,AS.2.11,TMP_ColEx_11_A,54.76,NA,1.61,NA
Soil_Column,AS,11,4,AS.4.11,TMP_ColEx_11_B,70.83,NA,1.96,NA
Soil_Column,AS,11,6,AS.6.11,TMP_ColEx_11_C,28.97,NA,0.96,NA
Soil_Column,AS,11,7,AS.7.11,TMP_ColEx_11_D,69.27,NA,2.03,NA
Soil_Column,AS,12,10,AS.10.12,TMP_ColEx_12_E,41.86,NA,1.31,NA
Soil_Column,AS,12,2,AS.2.12,TMP_ColEx_12_A,55.35,NA,1.58,NA
Soil_Column,AS,12,4,AS.4.12,TMP_ColEx_12_B,64.66,NA,1.81,NA
Soil_Column,AS,12,6,AS.6.12,TMP_ColEx_12_C,31.55,NA,0.96,NA
Soil_Column,AS,12,7,AS.7.12,TMP_ColEx_12_D,64.08,NA,1.84,NA
Soil_Column,CL,NA,NA,CL,TMP_ColEx_37,72.48,NA,4.18,NA
Soil_Column,DI,1,1,DI.1.1,TMP_ColEx_25,7.06,NA,0.58,blank is ≥ 15% of sample value
Soil_Column,DI,2,1,DI.1.2,TMP_ColEx_26,8.95,NA,0.28,blank is ≥ 15% of sample value
Soil_Column,DI,3,1,DI.1.3,TMP_ColEx_27,8.38,NA,0.24,blank is ≥ 15% of sample value
Soil_Column,DI,4,1,DI.1.4,TMP_ColEx_28,9.16,NA,0.26,blank is ≥ 15% of sample value
Soil_Column,DI,5,1,DI.1.5,TMP_ColEx_29,7.27,NA,0.22,blank is ≥ 15% of sample value
Soil_Column,DI,6,1,DI.1.6,TMP_ColEx_30,11.68,NA,0.3,blank is ≥ 15% of sample value
Soil_Column,DI,7,1,DI.1.7,TMP_ColEx_31,11.38,NA,0.28,blank is ≥ 15% of sample value
Soil_Column,DI,8,1,DI.1.8,TMP_ColEx_32,10.86,NA,0.29,blank is ≥ 15% of sample value
Soil_Column,DI,9,1,DI.1.9,TMP_ColEx_33,11.9,NA,0.28,blank is ≥ 15% of sample value
Soil_Column,DI,10,1,DI.1.10,TMP_ColEx_34,6.76,NA,0.19,blank is ≥ 15% of sample value
Soil_Column,DI,11,1,DI.1.11,TMP_ColEx_35,8.53,NA,0.25,blank is ≥ 15% of sample value
