Sample_ID,Abs_250nm,Abs_254nm,Abs_280nm,Abs_350nm,Abs_365nm,Abs_412nm,Abs_440nm,C_RSU,A_RSU,T_RSU,B_RSU,M_RSU,FDOM_RSU
TMP_0.POOL.1_EXP,1.8729,1.8402,1.8402,0.54746,0.45859,0.20802,0.14103,1.8151,3.1676,2.277,7.2478,1.5235,1.3235
TMP_0.POOL.2_EXP,2.1598,2.1255,2.1255,0.63156,0.53477,0.24852,0.16967,1.2149,2.2307,2.5116,11.424,1.0547,0.85614
TMP_0.POOL.3_EXP,1.8811,1.8505,1.8505,0.54963,0.4661,0.21865,0.15066,0.90552,1.7173,2.0165,10.316,0.7964,0.65727
TMP_0.POOL.4_EXP,1.134,1.1164,1.1164,0.32615,0.27552,0.12727,0.087303,0.71358,1.3592,1.2314,6.0657,0.6077,0.51577
TMP_0.POOL.5_EXP,1.1016,1.0843,1.0843,0.32426,0.27514,0.13148,0.091632,0.62676,1.178,1.1739,5.7384,0.53525,0.4652
TMP_0.POOL.6_EXP,0.92625,0.91153,0.91153,0.27318,0.23159,0.11128,0.078294,0.54122,1.0301,0.97587,4.6792,0.45642,0.39247
TMP_01.POOL.1_EXP,0.89045,0.87478,0.87478,0.27523,0.23136,0.10222,0.067883,0.82696,1.4427,0.8092,3.3827,0.7162,0.59231
TMP_ 01.POOL.2_EXP,1.8949,1.8634,1.8634,0.54997,0.46295,0.21117,0.14332,1.3322,2.4317,2.0566,8.5703,1.1212,0.97489
TMP_01.POOL.3_EXP,2.5771,2.5367,2.5367,0.74328,0.62951,0.29342,0.20185,1.2398,2.3433,2.7362,14.0585,1.0709,0.87787
TMP_01.POOL.4_EXP,1.8145,1.7863,1.7863,0.52183,0.44083,0.20364,0.13968,0.84051,1.6863,1.6318,8.1787,0.71292,0.59961
TMP_01.POOL.5_EXP,1.1036,1.0862,1.0862,0.32167,0.27256,0.12939,0.090324,0.659,1.2422,1.1592,5.5425,0.54784,0.4708
TMP_01.POOL.6_EXP,0.94821,0.93299,0.93299,0.27769,0.2352,0.11223,0.078633,0.55703,1.0507,0.96591,4.7599,0.4752,0.40501
TMP_1.POOL.1_EXP,0.12813,0.12443,0.12443,0.029718,0.023198,0.0098238,0.0064142,0.57903,0.90762,0.22284,0.19535,0.49509,0.41841
TMP_1.POOL.2_EXP,2.0039,1.968,1.968,0.5976,0.50238,0.22648,0.15362,1.4852,2.7207,2.0884,8.1382,1.2247,1.0854
TMP_1.POOL.3_EXP,3.2257,3.1756,3.1756,0.9277,0.7837,0.36203,0.24833,1.7825,3.4036,3.3486,15.8565,1.5149,1.3204
TMP_1.POOL.4_EXP,1.9315,1.9005,1.9005,0.55688,0.47228,0.22628,0.1577,2.284,4.3358,4.1995,20.2174,1.9498,1.6246
TMP_1.POOL.5_EXP,1.4967,1.4732,1.4732,0.43804,0.37188,0.18038,0.12713,0.86649,1.6281,1.5995,7.9183,0.72381,0.6233
TMP_1.POOL.6_EXP,1.1179,1.0987,1.0987,0.32925,0.27973,0.13774,0.098516,0.70863,1.3595,1.2478,5.8883,0.61742,0.51315
TMP_100.POOL.1_EXP,0.15141,0.14693,0.14693,0.034591,0.027318,0.012994,0.0096386,0.83815,1.3128,0.52108,0.41873,0.68326,0.59161
TMP_100.POOL.2_EXP,0.071495,0.069454,0.069454,0.015578,0.011951,0.0047805,0.0029505,0.39443,0.64999,0.20012,0.17018,0.34444,0.28937
TMP_100.POOL.3_EXP,4.5361,4.4657,4.4657,1.3046,1.1021,0.5091,0.34921,1.878,3.7029,3.5596,15.2771,1.6808,1.3348
TMP_100.POOL.4_EXP,4.065,3.9999,3.9999,1.133,0.95438,0.43457,0.29677,2.6843,4.8912,3.8278,16.1479,2.2224,1.8852
TMP_100.POOL.5_EXP,2.6715,2.6302,2.6302,0.74261,0.62785,0.29542,0.20649,1.7146,3.1332,2.7247,12.3097,1.4435,1.2016
TMP_100.POOL.6_EXP,2.018,1.9864,1.9864,0.56719,0.48075,0.23234,0.16521,1.2814,2.3968,2.1319,9.7158,1.0792,0.91022
TMP_25.POOL.1_EXP,0.13573,0.1316,0.1316,0.029556,0.022917,0.00992,0.0068248,0.79439,1.2108,0.32957,0.2474,0.62952,0.54729
TMP_25.POOL.2_EXP,0.12559,0.12217,0.12217,0.033788,0.02695,0.011834,0.0078826,0.52282,0.86182,0.17379,0.15504,0.44885,0.38248
