sample_name,doc_mg_l,EMSL_ID,Actual_Vol_SPEd_mL,Actual_Vol_MeOH_mL,spe_doc_mg_l,sample_vol,total_vol,dil_fac,doc_recovery_per
TMP_0.A.5_EXP,7.76,EUP60985_01,6,1,3.13,0.22619348320282903,6.9373000000000005,5.1116267820584405,206.17772974024382
TMP_0.A.1_EXP,19.11,EUP60985_02,3,1,8.88,0.2,7,11.666666666666664,542.1245421245421
TMP_0.A.2_EXP,14.15,EUP60985_03,4,1,8.68,0.2373074008588027,6.9372,7.308242362959022,448.30772940271595
TMP_0.A.3_EXP,12,EUP60985_04,6,1,8.52,0.24362212679969672,6.992299999999999,4.7835693278037015,339.63342227406275
TMP_0.A.4_EXP,8,EUP60985_05,6,1,17.3,0.2256883051275576,6.9369000000000005,5.122773195299381,1107.7997034834912
TMP_0.A.6_EXP,7.38,EUP60985_06,12,1,21.46,0.19866127810053072,6.9251,2.9049026170798853,844.7047447497879
TMP_0.B.1_EXP,18.81,EUP60985_07,3,1,8.19,0.2133114422834047,7.0134,10.959562107756078,477.186675505169
TMP_0.B.3_EXP,12.96,EUP60985_08,4,1,8.51,0.1776963879767616,6.995500000000001,9.841927683013516,646.2562081978781
TMP_0.B.4_EXP,8.72,EUP60985_09,6,1,17.15,0.2224046476382924,6.903200000000001,5.173153284118874,1017.426362644939
TMP_0.B.5_EXP,7.84,EUP60985_10,6,1,8.32,0.22871937357918645,7.0221,5.1169692435118765,543.0253074747299
TMP_0.B.6_EXP,6.71,EUP60985_11,12,1,20.51,0.23490780500126288,6.9719,2.4732752777777782,755.9892093475743
TMP_0.C.1_EXP,17.44,EUP60985_12,4,1,7.54,0.24261177064915376,6.977,7.189469807391985,310.8291419021535
TMP_0.C.3_EXP,13.05,EUP60985_13,4,1,8.35,0.2,7,8.75,559.8659003831417
TMP_0.C.4_EXP,7.13,EUP60985_14,12,1,20.34,0.21343773680222228,6.9815,2.7258144477317616,777.6026068283876
TMP_0.C.5_EXP,7.34,EUP60985_15,12,1,7.9,0.242232887092701,6.9274,2.3831748870350977,256.49974942203374
