Treatment,Timepoint,infiltration_rate_mlpermin_avg,infiltration_rate_mlpermin_sd,conductivity_uSpercm_avg,conductivity_uSpercm_sd,pH_avg,pH_sd,doc_mgperL_avg,doc_mgperL_sd,tdn_mgperL_avg,tdn_mgperL_sd,CtoN_ratio_avg,CtoN_ratio_sd,Na_ppm_avg,Na_ppm_sd,K_ppm_avg,K_ppm_sd,Mg_ppm_avg,Mg_ppm_sd,Ca_ppm_avg,Ca_ppm_sd,Al_ppm_avg,Al_ppm_sd,Fe_ppm_avg,Fe_ppm_sd,Mn_ppm_avg,Mn_ppm_sd,S_ppm_avg,S_ppm_sd,pB_avg,pB_sd,pT_avg,pT_sd,pA_avg,pA_sd,pM_avg,pM_sd,pC_avg,pC_sd,pD_avg,pD_sd,pE_avg,pE_sd,pN_avg,pN_sd,rAT_avg,rAT_sd,rCA_avg,rCA_sd,rCM_avg,rCM_sd,rCT_avg,rCT_sd,FI_avg,FI_sd,FI_max_avg,FI_max_sd,HIX_avg,HIX_sd,HIX_ohno_avg,HIX_ohno_sd,fresh_avg,fresh_sd,RFE_avg,RFE_sd,BIX_avg,BIX_sd,SUVA254_avg,SUVA254_sd,SUVA280_avg,SUVA280_sd,SUVA350_avg,SUVA350_sd,SUVA370_avg,SUVA370_sd,SVA412_avg,SVA412_sd,SVA440_avg,SVA440_sd,SVA480_avg,SVA480_sd,SVA510_avg,SVA510_sd,SVA532_avg,SVA532_sd,SVA555_avg,SVA555_sd,S275_295_avg,S275_295_sd,S350_400_avg,S350_400_sd,SR_avg,SR_sd,a254_avg,a254_sd
FW,1,28.43,19.17,99.83,13.87,4.68,0.18,17.66,12.66,2.12,1.42,9.8,4.71,8.43,1.99,3.65,0.36,1.86,0.49,1.09,0.28,0.8,0.2,2,2.72,NA,NA,1.82,0.35,0.05,0.02,0.05,0.02,0.08,0.03,0.05,0.02,0.05,0.02,0.02,0.01,NA,NA,0.03,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92,1.5,0.72,0.08,NA,NA,0.45,0.36,NA,NA,1.87,0.49,1.47,0.4,0.74,0.24,0.62,0.23,0.43,0.19,0.38,0.19,0.32,0.17,0.3,0.17,0.29,0.17,0.28,0.17,0.01,0,0.01,0,1.12,0.32,0.3,0.2
FW,2,12.84,8.97,48.04,12.28,5.39,0.52,14.14,12.6,0.97,0.64,16.09,8.82,4.05,0.56,2.62,0.48,1.06,0.41,0.73,0.26,0.64,0.3,0.48,1.21,NA,NA,1.17,0.46,0.04,0.01,0.04,0.01,0.14,0.02,0.08,0.01,0.08,0.01,0.03,0.01,NA,NA,0.04,0,3.44,1.18,0.56,0.06,1.02,0.01,1.86,0.48,1.67,0.09,456.4,3.44,5.83,2.38,0.84,0.06,0.62,0.07,0.89,0.49,0.62,0.07,2.17,0.37,1.66,0.31,0.8,0.22,0.66,0.22,0.49,0.22,0.46,0.23,0.39,0.21,0.37,0.21,0.36,0.21,0.36,0.21,0.01,0,0.01,0,1.31,0.44,0.3,0.27
FW,3,11.82,8.78,28.19,5.81,5.56,0.47,14.02,11.03,0.77,0.58,21.44,13.1,2.84,0.46,1.95,0.66,0.54,0.16,0.5,0.14,0.67,0.34,0.28,0.84,NA,NA,0.99,0.34,0.03,0.01,0.04,0.01,0.17,0.03,0.09,0.01,0.09,0.01,0.04,0.01,NA,NA,0.04,0,4.73,1.52,0.55,0.05,1.04,0.01,2.53,0.67,1.62,0.09,458.2,2.17,7.85,3,0.87,0.05,0.58,0.04,0.8,0.36,0.59,0.04,2.61,0.41,2,0.33,0.95,0.23,0.79,0.23,0.58,0.23,0.53,0.24,0.46,0.22,0.43,0.22,0.42,0.22,0.42,0.22,0.01,0,0.01,0,1.31,0.37,0.36,0.31
FW,4,8.21,6.64,20.82,3.66,5.61,0.47,14.29,9.62,0.71,0.35,21.04,9.31,2.41,0.42,1.62,0.62,0.35,0.1,0.35,0.11,0.69,0.33,0.35,0.65,NA,NA,0.89,0.28,0.03,0.01,0.04,0.01,0.19,0.04,0.09,0.01,0.1,0.01,0.04,0.01,NA,NA,0.04,0,5.47,1.64,0.54,0.04,1.06,0.01,2.9,0.73,1.6,0.08,459.4,3.97,9.5,3.19,0.9,0.04,0.57,0.03,0.78,0.3,0.58,0.03,2.86,0.42,2.18,0.34,1.01,0.23,0.82,0.22,0.59,0.22,0.53,0.23,0.44,0.2,0.42,0.2,0.41,0.2,0.4,0.2,0.01,0,0.01,0,1.23,0.3,0.4,0.29
FW,5,8.94,7.14,17.44,2.65,5.47,0.37,13.37,6.88,0.61,0.23,22.22,8.68,2.12,0.32,1.54,0.6,0.26,0.07,0.45,0.07,0.66,0.22,0.09,0.4,NA,NA,0.85,0.21,0.02,0.01,0.03,0,0.2,0.04,0.1,0.01,0.1,0.02,0.04,0.01,NA,NA,0.04,0.01,5.94,1.36,0.53,0.03,1.06,0.01,3.1,0.62,1.58,0.04,461.6,2.61,10.7,3.16,0.91,0.02,0.57,0.02,0.68,0.2,0.58,0.02,3.03,0.35,2.33,0.29,1.13,0.26,0.94,0.27,0.7,0.28,0.65,0.3,0.56,0.27,0.53,0.27,0.52,0.27,0.52,0.27,0.01,0,0.01,0,1.37,0.39,0.4,0.21
FW,6,7.77,6.17,16.14,2.62,5.46,0.42,16.06,8.6,0.65,0.27,24.97,9.1,2.03,0.23,1.56,0.93,0.24,0.08,0.34,0.09,0.74,0.33,0.14,0.46,NA,NA,0.8,0.17,0.03,0.01,0.04,0,0.22,0.03,0.11,0.01,0.11,0.01,0.05,0.01,NA,NA,0.05,0,5.99,1.28,0.51,0.03,1.07,0.01,3.05,0.56,1.59,0.04,460.2,2.05,10.17,2.81,0.91,0.03,0.56,0.02,1.27,0.6,0.57,0.03,2.61,0.23,1.91,0.15,0.69,0.06,0.5,0.04,0.24,0.02,0.16,0.02,0.11,0.02,0.08,0.02,0.07,0.02,0.06,0.02,0.01,0,0.02,0,0.82,0.07,0.43,0.25
FW,7,7.9,7.2,23.42,14.86,5.64,0.33,16.14,8.68,0.59,0.32,32.62,23.77,1.92,0.24,1.45,0.85,0.2,0.08,0.28,0.06,0.76,0.31,0.14,0.44,NA,NA,0.73,0.15,0.02,0.01,0.04,0,0.24,0.04,0.12,0.02,0.12,0.02,0.05,0.01,NA,NA,0.05,0.01,6.61,1.43,0.51,0.02,1.07,0.01,3.36,0.63,1.57,0.02,458.4,1.14,11.05,2.62,0.91,0.02,0.55,0.02,0.97,0.44,0.56,0.02,3.14,0.69,2.36,0.64,1.01,0.56,0.79,0.55,0.5,0.52,0.4,0.48,0.36,0.53,0.33,0.53,0.32,0.52,0.31,0.52,0.01,0,0.01,0,0.94,0.27,0.48,0.25
FW,8,6.8,5.24,14.38,2.64,5.61,0.32,15.41,7.78,0.62,0.25,25.27,8.48,1.88,0.23,1.3,0.7,0.18,0.08,0.27,0.06,0.74,0.28,0.15,0.43,NA,NA,0.68,0.14,0.02,0.01,0.04,0,0.25,0.04,0.12,0.02,0.13,0.02,0.05,0.01,NA,NA,0.05,0.01,6.75,1.25,0.51,0.02,1.07,0.01,3.44,0.56,1.51,0.11,461.2,1.1,11.36,2.17,0.92,0.02,0.54,0.03,0.98,0.41,0.55,0.03,3.11,0.31,2.32,0.23,0.95,0.15,0.74,0.15,0.45,0.15,0.36,0.15,0.28,0.14,0.26,0.14,0.24,0.14,0.23,0.14,0.01,0,0.01,0,0.98,0.16,0.48,0.25
FW,9,6.84,5.84,12.93,2.42,5.49,0.31,14.51,7.13,0.62,0.25,24.09,8.29,1.84,0.22,1.21,0.59,0.15,0.07,0.33,0.06,0.73,0.27,0.13,0.43,NA,NA,0.62,0.11,0.02,0,0.04,0,0.26,0.04,0.12,0.02,0.13,0.02,0.06,0.01,NA,NA,0.05,0,NA,NA,0.51,0.02,1.07,0.01,NA,NA,NA,NA,NA,NA,11.68,2.23,0.92,0.01,NA,NA,0.95,0.38,NA,NA,3.23,0.22,2.43,0.16,1.03,0.12,0.81,0.12,0.51,0.12,0.42,0.13,0.34,0.12,0.31,0.12,0.3,0.12,0.29,0.12,0.01,0,0.01,0,1.03,0.14,0.47,0.23
FW,10,7.82,9.09,14.43,4,5.53,0.24,14.89,8.17,0.65,0.29,23.28,7.92,1.8,0.31,1.15,0.52,0.15,0.1,0.22,0.07,0.74,0.33,0.15,0.5,NA,NA,0.63,0.06,0.02,0,0.04,0.01,0.25,0.05,0.12,0.02,0.13,0.02,0.05,0.01,NA,NA,0.05,0.01,NA,NA,0.51,0.01,1.07,0.02,NA,NA,NA,NA,NA,NA,11.53,1.58,0.92,0.01,0.54,0.02,0.79,0.37,0.56,0.01,3.35,0.49,2.57,0.4,1.2,0.29,0.99,0.28,0.7,0.25,0.6,0.23,0.54,0.25,0.51,0.25,0.49,0.25,0.49,0.25,0.01,0,0.01,0,1.16,0.21,0.51,0.33
