Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.164348056975744	0.00296400179250824	0.23516250104398	0.00104680887662313	1.34088253974915	0.161384055183236	0.313921643908494	0.514090246132496	0.0032094719704001	99.263715720083
797	0.161830412408777		0.23178524405369		1.3260293006897	0.158866410616269	0.305965925840081	0.519229094481925	0.00321897997034962	99.261542565433
794	0.173191605600685		0.249069607235358		1.31175875663757	0.170227603808177	0.325346077592825	0.523220089412662	0.00319599951527765	99.266795074655
791	0.188521750879395		0.271550155241233		1.29830348491669	0.185557749086886	0.351195437266799	0.52836036404972	0.00318751424820415	99.2687345731552
788	0.175476806854982		0.252795775891123		1.28535497188568	0.172512805062473	0.323586786419172	0.533126852834471	0.00320643392003289	99.2644101088799
785	0.170512010198184		0.246164807518571		1.27193987369537	0.167548008405676	0.311775356233102	0.537399781785212	0.00317289839344804	99.2720754441115
782	0.177368394524425		0.25658632107251		1.25860202312469	0.174404392731917	0.321622547038041	0.542264198633091	0.00317911882484593	99.2706535731497
779	0.187980563442592		0.272603116967983		1.24614322185516	0.185016561650084	0.33839805268006	0.546742394599441	0.00323180344917396	99.2586116981294
776	0.207884251946435		0.302308276761396		1.23451888561249	0.204920250153927	0.371912971611092	0.550989790074359	0.00325061144981054	99.2543131963377
773	0.236678161590902		0.345094229578103		1.22383856773376	0.233714159798394	0.421058502583795	0.555063389919034	0.00320509958992024	99.2647150901783
770	0.302711184016866		0.443448170530315		1.21381187438965	0.299747182224358	0.5369920260214	0.558196710005546	0.0032002220857317	99.2658299253941
767	0.448008199808969		0.658432218133195		1.20520555973053	0.44504419801646	0.79228455012175	0.561722676465256	0.00314526423558526	99.2783923272368
764	0.479772075414468		0.702882316527358		1.19851565361023	0.47680807362196	0.841160842178888	0.566845304385387	0.00315449910733737	99.2762812862001
761	0.387258226907182		0.567010574516564		1.19181299209595	0.384294225114674	0.674522968945228	0.569727411529969	0.0032114964786251	99.2632529931802
758	0.367738094538892		0.539303781109209		1.18398952484131	0.364774092746384	0.63729061679618	0.572382651074002	0.00322543081789549	99.2600681826134
755	0.403556696080338		0.592459418714192		1.17633533477783	0.40059269428783	0.695699550385108	0.575812783070048	0.00326817239257062	99.2502998732441
752	0.450748028899583		0.661930664774489		1.16980671882629	0.447784027107075	0.773106374993152	0.579201053814931	0.00327111128523489	99.2496282437313
749	0.492304798753062		0.722906602030841		1.16390073299408	0.489340796960554	0.840173142371149	0.582428516554967	0.00330468289104462	99.2419563971958
746	0.56196312244933		0.825514418698478		1.15848278999329	0.558999120656822	0.955131536885518	0.585258782763681	0.00330605200143166	99.2416435380994
743	0.650363796839751		0.955108283537091		1.15345752239227	0.647399795047243	1.10046938477178	0.588294235174477	0.00337003908107767	99.227022778609
740	0.731129543892515		1.0727275070051		1.14841175079346	0.728165542100007	1.23073070682927	0.591653022110724	0.00346623708022132	99.2050460223964
737	0.867685359997256		1.27360470011112		1.14263534545898	0.864721358204748	1.45406962566729	0.594690476261009	0.00357094187489765	99.1811313921883
734	1.03018067642559		1.5112208692056		1.13635516166687	1.02721667463309	1.71609408847025	0.598578295639233	0.00361431608436065	99.1712263887112
731	1.08142280054945		1.58506725684998		1.12990951538086	1.07845879875694	1.78979977672294	0.602558349142026	0.00357021653830019	99.1812970396176
728	1.06130174990964		1.55667865344779		1.12338900566101	1.05833774811713	1.7475797110474	0.605601988525502	0.00340038477868207	99.2200896764012
725	1.04717577981227		1.53873420161519		1.11702907085419	1.04421177801977	1.71764151957496	0.607933475128245	0.00313235066436695	99.2813443740709
722	1.05035521003639		1.54727854728418		1.11090362071991	1.04739120824388	1.71771443666899	0.609758633847771	0.0029229258389132	99.3292312181984
719	1.02188312396851		1.5087139502703		1.10438621044159	1.01891912217601	1.66504680089107	0.611946235763894	0.00288679292552969	99.3374956653992
716	0.911100997946334		1.34794553660606		1.09723365306854	0.908136996153826	1.47786261133995	0.614493518670479	0.00303305224223946	99.3040469603952
713	0.740339879549072		1.09758087513088		1.08915162086487	0.737375877756564	1.19429185559437	0.617416818428848	0.00323356708531342	99.2582086174397
710	0.556159871740097		0.82797392674529		1.07961905002594	0.553195869947589	0.892766269434059	0.61964244045451	0.00349336031283171	99.1988505084549
